                  Analyte  Sample,Plasma1,Plasma2,Plasma3
Unknown4,-0.9213466227820238,0.17251876920096845,0.606565703697819
Unknown5,-1.0988484875161957,1.0462823224645323,-0.09202448453260334
Unknown6,-1.2441117647769124,0.02283628328778054,0.7549203403111113
Unknown7,1.2343100313456987,-0.5420629735504596,-0.8485389553652531
Unknown8,1.874818309311507,-0.8192809269979509,-0.930790750014006
Unknown9,-0.395581174161344,-0.6888997447295422,0.7679040762455612
Unknown10,0.12615006579777918,-1.1971634622591982,0.936517838572178
Unknown11,-0.7185237585685603,0.5379884039283882,-0.1048642211964976
Unknown12,-1.1876064477440715,1.2653508454123197,-0.3170182523281333
Unknown13,0.9207194138232696,0.2658521091500848,-0.8891958021919264
Unknown14,0.8146200316721258,-0.8094678699250135,0.2944105218830815
Unknown15,0.6695183196628169,-0.31523103793034307,-0.4191091180696586
Unknown16,-0.2868035561746982,-0.2527743121091024,0.5540191035417288
Unknown17,0.5093492048269744,-0.17262760067613125,-0.39532133992524404
Unknown18,-0.3161364926848172,-0.7333851092083215,1.2622131943730868
Unknown19,0.2997293127287928,0.621231099381939,-1.0158376491516847
Unknown20,0.8706237083479699,0.40609310424460937,-1.119810072477589
Unknown21,-1.099644066747741,1.254924790022848,-0.1613665744634526
Unknown22,-0.7687495467843287,0.6718748297402193,0.17418795324241437
Unknown23,-0.11695661736307444,-0.005302788186126612,0.08257247891979784
Unknown24,-0.3541899586783252,-0.7920593977294645,1.1158135390950017
Unknown25,0.034021343601669134,0.05836682093440679,0.0922864048826042
Unknown26,-0.5963157383524391,-0.5749843457788789,1.2440979759316169
Unknown27,1.3594959410605698,-0.159241684538733,-1.0886974768337454
Unknown28,0.9507498282896888,-0.43755351185952607,-0.5298506841409643
Unknown29,-0.27400243394582113,0.5989692254147171,0.07134883094942081
Unknown30,-0.2118553491637887,0.9141918831825363,-0.2890419211458143
Unknown31,1.6240363918494336,0.9820283264178008,-2.5854937869009245
Unknown32,1.313839359171461,0.20926154930858873,-1.5191622396764268
Unknown33,-0.019527620081557853,0.560519639702336,-0.5795923430842839
Unknown34,-0.30560529438666506,0.027304681148250427,0.21547176282046532
Unknown35,-0.7957897163972831,-0.22174774046455595,1.1060768292685452
Unknown36,-3.5254801132008344,3.3425047360003717,0.28790104024077234
Unknown37,0.37288446667530717,-1.6033067619975685,0.9547074933882835
Unknown38,-0.2906233749152646,-2.5129653523936577,2.766413943333339
Unknown39,0.8529827126027139,-0.8120645527999095,0.0008401749834182554
Unknown40,0.0995798411842259,-1.4896378147298142,1.3394672308501816
Unknown41,0.6002698524737425,1.1816575689216005,-1.7420207650322197
