                  Analyte  Sample,Plasma1,Plasma2,Plasma3
Unknown4,-0.9224982452199116,-0.35193126331558733,-0.03071920687861349
Unknown5,-0.8499389942154831,0.18644596634551447,-0.26194235081996825
Unknown6,-0.9348606373270135,-0.14693514996246446,0.2620114299931401
Unknown7,1.3388241206327391,0.5897707885145782,0.002592831272586272
Unknown8,1.4437752736009641,0.17731988487264627,-0.2859703973786964
Unknown9,-0.45480648957465447,-0.5401065482532625,0.3991627455427651
Unknown10,-0.19909028446240204,-0.797377248484055,0.44188088039377826
Unknown11,-0.44863799891135997,0.2107843385701542,-0.05003963016131682
Unknown12,-0.40025270865519735,0.8127518102412169,-0.05620496572647596
Unknown13,0.7369733761903009,0.29627064165094685,-0.438635741308624
Unknown14,0.8809683430391316,0.04426105156161661,0.5211231020891046
Unknown15,-0.897548069980426,-1.3781425753017675,-1.2323227576886564
Unknown16,-0.918835181822756,-0.889980092226251,-0.27434466220256676
Unknown17,-0.7530602935982765,-1.063444493690175,-1.1247404178284832
Unknown18,-0.7251789710975688,-0.944551309474053,0.3218103105389595
Unknown19,2.037268111492317,2.3184428772350776,0.6914120058851443
Unknown20,2.058597962466443,1.8895346949832192,0.3613969004138253
Unknown21,-0.2782131328334143,0.7744258307358468,0.10464274728719543
Unknown22,-0.4327009261877499,0.1882693109669748,0.05356131054465898
Unknown23,0.14687201558070534,0.19447540690257425,0.29491877595925464
Unknown24,0.35075689590650116,0.16557683142492785,1.256786678941413
Unknown25,-1.181516413311646,-1.2195958160389564,-0.8510402809619886
Unknown26,-1.1640406346698389,-1.2032627429531515,0.1729484279653482
Unknown27,0.621417773702589,-0.19895972950482535,-0.7104889321081683
Unknown28,-0.19127035036407442,-0.9219647188869202,-0.8337041969226825
Unknown29,-0.7160173386713811,-0.4983731969633784,-0.45159297047832575
Unknown30,-0.8255544246737838,-0.49186977827634343,-0.8916799298997325
Unknown31,0.7537607533392778,0.4709674707596805,-1.9304851910457406
Unknown32,0.8824547173296042,0.38937702705296384,-0.9271990296742034
Unknown33,-1.1814366118614836,-0.9365348361557059,-1.2401734142844822
Unknown34,-1.1450072746754358,-0.9496330713127118,-0.5755121414861593
Unknown35,-0.6336729656815266,-0.34197179566246894,0.5485375258687506
Unknown36,0.0027435026224888574,3.1272719067322168,1.6458550438197905
Unknown37,0.06426505692748818,-0.7374134223165612,0.7031982922006417
Unknown38,0.4274076167673615,-0.5211270568630286,2.473375001334173
Unknown39,2.033372863872639,1.2920037599523804,1.2924468522196781
Unknown40,2.1473379567571103,1.503552257665694,2.634611706234895
Unknown41,-0.672658392432278,-0.4983270105265615,-2.0154763516502165
