TNFα,2
TNFβ,3
IFNα2,2
IFNγ,1
Eotaxin,1
GCSF,4
GM-CSF,1
GRO,2
IL1α,1
IL1β,3
IL1Ra/Ra2,2
IL2,3
IL3,3
IL4,3
IL5,1
IL6,4
IL7,1
IL8,4
IL9,1
IL10,4
IL12-P40,3
IL12-P70,2
IL13,3
IL15,3
IP10,4
MCP1,4
MCP3,3
MDC,2
MIP1α,4
MIP1β,2
sCD40-L,2
VEGF,1
FKN,2
EGF,1
FGF-2,2
TGFα,1
FLT3L,4
