,cy_1,cy_2,cy_3,cy_4,cy_5,cy_6,cy_7,cy_8,cy_9,cy_10,cy_11,cy_12,cy_13,cy_14,cy_15,cy_16,cy_17,cy_18,cy_19,cy_20
cy_1,0.0,0.3783954712190675,0.6210085490369288,0.5964296698266655,0.5163246133856353,0.5592804586809945,0.37856853705015275,0.2306179665333804,0.6019858581316337,0.5873909936126162,0.6651923952793873,0.586937145073223,0.7041944890417827,0.645786464372404,0.7164611473457926,0.3344416493744218,0.4690476429705569,0.46599815506276177,0.49698151385451145,0.4284194264867131
cy_2,0.3783954712190675,0.0,0.637709197938459,0.49795828724894925,0.64233409261519,0.5116899829221081,0.538557587643315,0.37012613221116814,0.6361434334600101,0.5668563004349427,0.6587745547074493,0.7425165338091874,0.740449805560693,0.6392870047606993,0.8029427487974792,0.3039854397238412,0.24228151285147392,0.6310578342287041,0.34716992307666744,0.400794450895992
cy_3,0.6210085490369288,0.637709197938459,0.0,0.5452616848296332,0.307123686935469,0.41980443407792556,0.6385501649395563,0.5666852157527685,0.45211704415448967,0.420918205812454,0.46029735866898935,0.48334488410937987,0.35676829698557977,0.4246569325105573,0.4237112560598051,0.6578471214836773,0.6651377250290352,0.5070997300819072,0.6687048514830949,0.538034812269595
cy_4,0.5964296698266655,0.49795828724894925,0.5452616848296332,0.0,0.6722438390954951,0.6823642287053485,0.5482074318854753,0.6825528363608392,0.5802087745364305,0.32954486904233965,0.5795342009276968,0.5130384104113196,0.2908695941488808,0.33707072405009253,0.41878920871464437,0.6520825220365645,0.5906657169502532,0.5964247092753382,0.5139011878457959,0.5542291936623363
cy_5,0.5163246133856353,0.64233409261519,0.307123686935469,0.6722438390954951,0.0,0.46089638215625073,0.4845049752340826,0.4951009885337059,0.3402242936906466,0.6689045013044603,0.43424673141572284,0.34300930252327577,0.4013928618405702,0.5223934034726486,0.3811156507972984,0.6692078591260776,0.7053965324825979,0.2648643862141571,0.7024860656463678,0.5909903601926414
cy_6,0.5592804586809945,0.5116899829221081,0.41980443407792556,0.6823642287053485,0.46089638215625073,0.0,0.5776393363567225,0.4158205319370105,0.5116304490013943,0.6470001827245397,0.5340767121620974,0.5132502160908945,0.6205214032844689,0.6530092304251371,0.6214033238131677,0.39250612250358063,0.3642454267169105,0.493059297760762,0.5459614448501565,0.47291499974816553
cy_7,0.37856853705015275,0.538557587643315,0.6385501649395563,0.5482074318854753,0.4845049752340826,0.5776393363567225,0.0,0.4737152141471549,0.3913739109576651,0.5517798649036292,0.6171371159476217,0.4198074907633741,0.5294317904342449,0.554642999652818,0.5320727957995146,0.5661707799093232,0.5790189010448138,0.41403028153493016,0.545921058126971,0.46525142088591376
cy_8,0.2306179665333804,0.37012613221116814,0.5666852157527685,0.6825528363608392,0.4951009885337059,0.4158205319370105,0.4737152141471549,0.0,0.5410964352601446,0.7005938080738956,0.6411198568039875,0.6326998744302365,0.7966021070693183,0.7424496386172856,0.7896671629239107,0.24007046680547123,0.36271286092447097,0.5404306565812318,0.33694926107109974,0.4904973003955379
cy_9,0.6019858581316337,0.6361434334600101,0.45211704415448967,0.5802087745364305,0.3402242936906466,0.5116304490013943,0.3913739109576651,0.5410964352601446,0.0,0.5948739442501688,0.44688783370574703,0.45105359336191464,0.4748836530841639,0.37316778209918233,0.3716692582507588,0.6584316790941317,0.6295063771899969,0.420287818612005,0.5645544061457684,0.7035880988405678
cy_10,0.5873909936126162,0.5668563004349427,0.420918205812454,0.32954486904233965,0.6689045013044603,0.6470001827245397,0.5517798649036292,0.7005938080738956,0.5948739442501688,0.0,0.4695056724300656,0.5541551070839043,0.2742063389592432,0.3933339690627313,0.42807500630343487,0.6170194468896791,0.6334263272188649,0.6418407362965346,0.497754951783755,0.4646350892814437
cy_11,0.6651923952793873,0.6587745547074493,0.46029735866898935,0.5795342009276968,0.43424673141572284,0.5340767121620974,0.6171371159476217,0.6411198568039875,0.44688783370574703,0.4695056724300656,0.0,0.4558639665668317,0.4362726555974883,0.46789966416094414,0.2740240245093445,0.5422696179210972,0.5670577043425157,0.4744365284201286,0.6078969194599336,0.5779623598412826
cy_12,0.586937145073223,0.7425165338091874,0.48334488410937987,0.5130384104113196,0.34300930252327577,0.5132502160908945,0.4198074907633741,0.6326998744302365,0.45105359336191464,0.5541551070839043,0.4558639665668317,0.0,0.2824915500919674,0.46295996343656487,0.20497857185580998,0.7204260771088135,0.7453077361906427,0.3814206077718608,0.703116329639717,0.5537643569420321
cy_13,0.7041944890417827,0.740449805560693,0.35676829698557977,0.2908695941488808,0.4013928618405702,0.6205214032844689,0.5294317904342449,0.7966021070693183,0.4748836530841639,0.2742063389592432,0.4362726555974883,0.2824915500919674,0.0,0.3276604736316441,0.20178823086605735,0.8476092149012547,0.7947682154890827,0.4741056418522491,0.6883950206420861,0.5869737782199216
cy_14,0.645786464372404,0.6392870047606993,0.4246569325105573,0.33707072405009253,0.5223934034726486,0.6530092304251371,0.554642999652818,0.7424496386172856,0.37316778209918233,0.3933339690627313,0.46789966416094414,0.46295996343656487,0.3276604736316441,0.0,0.3184717909517452,0.7691890443753022,0.7160493188100211,0.4246636621496362,0.6406189160247093,0.5775445066981971
cy_15,0.7164611473457926,0.8029427487974792,0.4237112560598051,0.41878920871464437,0.3811156507972984,0.6214033238131677,0.5320727957995146,0.7896671629239107,0.3716692582507588,0.42807500630343487,0.2740240245093445,0.20497857185580998,0.20178823086605735,0.3184717909517452,0.0,0.7736466684500616,0.7677428200738183,0.3713294027291226,0.7341542236283517,0.6430545347443821
cy_16,0.3344416493744218,0.3039854397238412,0.6578471214836773,0.6520825220365645,0.6692078591260776,0.39250612250358063,0.5661707799093232,0.24007046680547123,0.6584316790941317,0.6170194468896791,0.5422696179210972,0.7204260771088135,0.8476092149012547,0.7691890443753022,0.7736466684500616,0.0,0.17077424958618354,0.6564493774120392,0.2737466534079538,0.4263602599130852
cy_17,0.4690476429705569,0.24228151285147392,0.6651377250290352,0.5906657169502532,0.7053965324825979,0.3642454267169105,0.5790189010448138,0.36271286092447097,0.6295063771899969,0.6334263272188649,0.5670577043425157,0.7453077361906427,0.7947682154890827,0.7160493188100211,0.7677428200738183,0.17077424958618354,0.0,0.6214573025322497,0.22255135191972453,0.49171782746228176
cy_18,0.46599815506276177,0.6310578342287041,0.5070997300819072,0.5964247092753382,0.2648643862141571,0.493059297760762,0.41403028153493016,0.5404306565812318,0.420287818612005,0.6418407362965346,0.4744365284201286,0.3814206077718608,0.4741056418522491,0.4246636621496362,0.3713294027291226,0.6564493774120392,0.6214573025322497,0.0,0.7023803938072108,0.5965282822226926
cy_19,0.49698151385451145,0.34716992307666744,0.6687048514830949,0.5139011878457959,0.7024860656463678,0.5459614448501565,0.545921058126971,0.33694926107109974,0.5645544061457684,0.497754951783755,0.6078969194599336,0.703116329639717,0.6883950206420861,0.6406189160247093,0.7341542236283517,0.2737466534079538,0.22255135191972453,0.7023803938072108,0.0,0.5229438829850278
cy_20,0.4284194264867131,0.400794450895992,0.538034812269595,0.5542291936623363,0.5909903601926414,0.47291499974816553,0.46525142088591376,0.4904973003955379,0.7035880988405678,0.4646350892814437,0.5779623598412826,0.5537643569420321,0.5869737782199216,0.5775445066981971,0.6430545347443821,0.4263602599130852,0.49171782746228176,0.5965282822226926,0.5229438829850278,0.0
